Time,Var,Value,EPU
W_199912,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01903099,GB
W_199912,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01869665,MAB
W_199913,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01730859,GOM
W_199913,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01703122,GB
W_199913,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02113894,MAB
W_199914,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.001441794,GOM
W_199914,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.002672153,GB
W_199914,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01538793,MAB
W_199915,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.006652041,GOM
W_199915,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.000369676,GB
W_199915,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.004896974,MAB
W_199916,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.004083626,GOM
W_199916,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.009405448,GB
W_199916,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01458328,MAB
W_199917,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02325938,GOM
W_199917,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.0199543,GB
W_199917,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.00314707,MAB
W_199918,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.03272417,GOM
W_199918,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01676812,GB
W_199918,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.004096352,MAB
W_199919,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01410012,GOM
W_199919,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.006994693,GB
W_199919,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.004531213,MAB
W_199920,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02165126,GOM
W_199920,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01857386,GB
W_199920,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.005600135,MAB
W_199921,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01138684,GOM
