"","Time","Var","Value","EPU","Units"
"231","W_199852","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.02306728,"MAB",NA
"232","W_199901","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.02205116,"GOM",NA
"233","W_199901","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01310652,"GB",NA
"234","W_199901","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01641481,"MAB",NA
"235","W_199902","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.0463504,"GOM",NA
"236","W_199902","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01214181,"GB",NA
"237","W_199902","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.0137524,"MAB",NA
"238","W_199903","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.002150402,"GOM",NA
"239","W_199903","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.003344114,"GB",NA
"240","W_199903","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.007300889,"MAB",NA
"241","W_199904","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.02430936,"GOM",NA
"242","W_199904","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01043734,"GB",NA
"243","W_199904","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.03661649,"MAB",NA
"244","W_199905","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.003452831,"GOM",NA
"245","W_199905","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.004850439,"GB",NA
"246","W_199905","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.02795429,"MAB",NA
"247","W_199906","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.001553206,"GOM",NA
"248","W_199906","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.003272346,"GB",NA
"249","W_199906","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.009423088,"MAB",NA
"250","W_199907","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.019091,"GOM",NA
"251","W_199907","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01383776,"GB",NA
"252","W_199907","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.007097634,"MAB",NA
"253","W_199908","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01919461,"GOM",NA
